1 50 0.009659
4 50 0.016030
25 50 0.001327
1 60 0.006194
4 60 0.016208
9 60 0.061745
16 60 0.183114
25 60 0.200056
36 60 0.007693
1 70 0.009385
4 70 0.016744
25 70 0.202882
49 70 0.001616
1 80 0.008179
4 80 0.014174
16 80 0.208321
25 80 0.213380
64 80 0.001304
1 90 0.012189
4 90 0.015339
9 90 0.048197
25 90 0.229139
36 90 0.384485
81 90 0.001693
1 100 0.011787
4 100 0.016722
16 100 0.177460
25 100 0.186823
1 150 0.028122
4 150 0.022473
9 150 0.066284
25 150 0.164080
36 150 0.427264
1 200 0.056489
4 200 0.027294
16 200 0.178461
25 200 0.197845
64 200 0.634433
1 250 0.105003
4 250 0.040275
25 250 0.191453
1 300 0.177608
4 300 0.057024
9 300 0.097559
16 300 0.163332
25 300 0.162367
36 300 0.345712
1 350 0.278971
4 350 0.079692
25 350 0.235255
49 350 0.452697
1 400 0.416855
4 400 0.111247
16 400 0.186061
25 400 0.230565
64 400 0.655569
1 450 0.608329
4 450 0.143106
9 450 0.202964
25 450 0.232332
36 450 0.351414
81 450 0.816982
1 500 0.803823
4 500 0.191473
16 500 0.212191
25 500 0.198670
1 600 1.386771
4 600 0.316322
9 600 0.239358
16 600 0.251057
25 600 0.246741
36 600 0.462194
64 600 0.618616
1 700 2.195706
4 700 0.479894
16 700 0.293969
25 700 0.306309
49 700 0.474523
1 800 3.323860
4 800 0.717467
16 800 0.377904
25 800 0.378087
64 800 0.753525
1 1000 6.390360
4 1000 1.363083
16 1000 0.577889
25 1000 0.614345
64 1000 0.775916
