1 50 0.008855
4 50 0.022033
25 50 0.006320
1 60 0.006212
4 60 0.021746
9 60 1.686725
16 60 0.256365
25 60 0.562822
36 60 1.754191
1 70 0.007019
4 70 0.019468
25 70 0.731344
49 70 0.001592
1 80 0.010042
4 80 0.020115
16 80 0.272681
25 80 3.523109
64 80 0.007527
1 90 0.012842
4 90 0.014653
9 90 2.568783
25 90 0.702717
36 90 0.524574
81 90 0.001921
1 100 0.016218
4 100 0.029773
16 100 0.248912
25 100 4.472952
1 150 0.030046
4 150 0.027850
9 150 2.497217
25 150 0.553411
36 150 0.538151
1 200 0.057769
4 200 0.040845
16 200 0.221600
25 200 4.975425
64 200 0.660062
1 250 0.107434
4 250 0.048168
25 250 0.777446
1 300 0.182651
4 300 0.102774
9 300 2.638143
16 300 0.257615
25 300 0.607559
36 300 4.236086
1 350 0.278501
4 350 0.095718
25 350 0.556632
49 350 0.665183
1 400 0.419396
4 400 0.129834
16 400 0.146235
25 400 4.820323
64 400 0.769086
1 450 0.587058
4 450 0.185628
9 450 3.724663
25 450 0.506107
36 450 0.607096
81 450 0.983127
1 500 0.808482
4 500 0.237410
16 500 0.247494
25 500 5.416881
1 600 1.394583
4 600 0.380233
9 600 5.278608
16 600 0.284591
25 600 0.668751
36 600 5.720231
64 600 0.831151
1 700 2.199413
4 700 0.580775
16 700 0.277318
25 700 7.971299
49 700 0.983283
1 800 3.326569
4 800 0.870463
16 800 0.327019
25 800 9.629617
64 800 0.842067
